Name,DateOfBirth,DateOfDeath,Type
"Paulick, Richard",1903,1979,personal
"Pewas, Peter",1904,1984,personal
"Pfeiffer, Henri",1907,1994,personal
"Piscator, Erwin",1893,1966,personal
"Plecnik, Joze",1872,1957,personal
"Plischke, Ernst Anton",1903,1992,personal
"Posener, Julius",1904,1996,personal
"Probst, Franz",1903,1980,personal
"Radziwill, Franz",1895,1983,personal
"Rauschenberg, Robert",1925,2008,personal
"Ray, Man",1890,1976,personal
"Read, Herbert Edward",1893,1968,personal
"Reger, Max",1873,1916,personal
"Reichel, Hans",1892,1958,personal
"Renger-Patzsch, Albert",1897,1966,personal
"Reuter, Ernst",1889,1953,personal
"Richter, Hans",1888,1976,personal
"Riefenstahl, Leni",1902,2003,personal
"Riemerschmid, Richard",1868,1957,personal
"Rietveld, Gerrit Thomas",1888,1964,personal
"Röhricht, Wolf",1886,1953,personal
"Roh, Franz",1890,1965,personal
"Rohlfs, Christian",1849,1938,personal
"Rosenthal, Philip",1916,2001,personal
"Roskot, Kamil",1886,1945,personal
"Rossi, Aldo",1931,1997,personal
"Rossow, Walter",1910,1992,personal
"Ruhnau, Werner",1922,,personal
"Salomon, Erich",1886,1944,personal
"Salvisberg, Otto R.",1882,1940,personal
"Sander, August",1876,1964,personal
"Schad, Christian",1894,1982,personal
"Scharl, Josef",1896,1954,personal
"Scharoun, Hans",1893,1972,personal
"Schattner, Karljosef",1924,,personal
"Schawinsky, Xanti",1904,1979,personal
"Scheerbart, Paul",1863,1915,personal
"Schiele, Egon",1890,1918,personal
"Schinkel, Karl Friedrich",1781,1841,personal
"Schlaf, Johannes",1862,1941,personal
"Schlemmer, Oskar",1888,1943,personal
"Schlotter, Eberhard",1921,,personal
"Schneiders, Carl",1905,1975,personal
"Schönberg, Arnold",1874,1951,personal
"Schumacher, Emil",1912,1999,personal
"Schumacher, Fritz",1869,1947,personal
"Schwarz, Rudolf",1897,1961,personal
"Schwippert, Hans",1899,1973,personal
"Schwitters, Kurt",1887,1948,personal
"Seidler, Harry",1923,2006,personal
"Seitz, Gustav",1906,1969,personal
"Semper, Gottfried",1803,1879,personal
"Servranckx, Victor",1897,1965,personal
"Sarôn, Arye",1900,1984,personal
"Siegel, Harro",1900,1985,personal
"Sitte, Willi",1921,08.06.2013,personal
"Spaemann, Heinrich",1904,2001,personal
"Speer, Albert",1905,1981,personal
"Steinberg, Saul",1914,1999,personal
"Steinbrenner, Hans",1928,2008,personal
"Steiner, Rudolf",1861,1925,personal
"Stenner, Hermann",1891,1914,personal
"Strecker, Paul",1898,1950,personal
"Stuckenschmidt, Hans Heinz",1901,1988,personal
"Sundberg, Alan Frederick",1948,,personal
"Tange, Kenzo",1913,2005,personal
"Tappert, Georg",1880,1957,personal
"Taut, Bruno",1880,1938,personal
"Tessenow, Heinrich",1876,1950,personal
"Thiemann, Hans",1910,1977,personal
"Tillich, Paul",1886,1965,personal
"Tinguely, Jean",1925,1991,personal
"Trudeau, Pierre Elliott",1919,2000,personal
"Tschichold, Jan",1902,1974,personal
"Tübke, Werner",1929,2004,personal
"Twombly, Cy",1928,,personal
"Tzara, Tristan",1896,1963,personal
"Uecker, Günther",1930,,personal
"Ungers, Oswald M.",1926,2007,personal
"Vasarely, Victor",1906,1997,personal
"Velde, Henry van de",1863,1957,personal
